# Program:featureCounts v2.0.8; Command:"featureCounts" "-p" "-B" "-C" "-F" "GFF" "-t" "CDS" "-g" "locus_tag" "-a" "/home/vinay_bioinformatic/project/refrence/GCF_000005845.2_ASM584v2_genomic.gff" "-o" "SRR22578533_gene_counts.txt" "SRR22578533.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR22578533.sorted.bam
b0001	NC_000913.3	190	255	+	66	107
b0002	NC_000913.3	337	2799	+	2463	1403
b0003	NC_000913.3	2801	3733	+	933	1043
b0004	NC_000913.3	3734	5020	+	1287	1729
b0005	NC_000913.3	5234	5530	+	297	523
b0006	NC_000913.3	5683	6459	-	777	655
b0007	NC_000913.3	6529	7959	-	1431	674
b0008	NC_000913.3	8238	9191	+	954	16790
b0009	NC_000913.3	9306	9893	+	588	1499
b0010	NC_000913.3	9928	10494	-	567	1166
b0011	NC_000913.3	10643	11356	-	714	101
b0012	NC_000913.3	10830	11315	+	486	0
b0013	NC_000913.3	11382	11786	-	405	61
b0014	NC_000913.3	12163	14079	+	1917	19589
b0015	NC_000913.3	14168	15298	+	1131	3264
b0016	NC_000913.3	15445	16557	+	1113	353
b0018	NC_000913.3	16751	16960	-	210	13
b4412	NC_000913.3	16751	16903	-	153	0
b0019	NC_000913.3	17489	18655	+	1167	5359
b0020	NC_000913.3	18715	19620	+	906	1419
b0021	NC_000913.3	19811	20314	-	504	67
b0022	NC_000913.3	20233	20508	-	276	135
b0023	NC_000913.3	20815	21078	-	264	12934
b0024	NC_000913.3	21181	21399	+	219	88
b0025	NC_000913.3	21407	22348	+	942	3619
b0026	NC_000913.3	22391	25207	+	2817	12489
b0027	NC_000913.3	25207	25701	+	495	2944
b0028	NC_000913.3	25826	26275	+	450	1115
b0029	NC_000913.3	26277	27227	+	951	1933
b0030	NC_000913.3	27293	28207	+	915	838
b0031	NC_000913.3	28374	29195	+	822	701
b0032	NC_000913.3	29651	30799	+	1149	2926
b0033	NC_000913.3	30817	34038	+	3222	7409
b0034	NC_000913.3	34300	34695	+	396	202
b0035	NC_000913.3	34781	35371	-	591	68
b0036	NC_000913.3	35377	36162	-	786	78
b0037	NC_000913.3	36271	37824	-	1554	207
b0038	NC_000913.3	37898	39115	-	1218	266
b0039	NC_000913.3	39244	40386	-	1143	488
b0040	NC_000913.3	40417	41931	-	1515	71
b0041	NC_000913.3	42403	43173	+	771	43
b0042	NC_000913.3	43188	44129	+	942	57
b0043	NC_000913.3	44180	45466	+	1287	50
b0044	NC_000913.3	45463	45750	+	288	9
b0045	NC_000913.3	45807	47138	+	1332	69
b0046	NC_000913.3	47246	47776	+	531	208
b0047	NC_000913.3	47769	49631	+	1863	818
b0048	NC_000913.3	49823	50302	+	480	1399
b0049	NC_000913.3	50380	51222	-	843	1624
b0050	NC_000913.3	51229	51606	-	378	817
b0051	NC_000913.3	51609	52430	-	822	2770
b0052	NC_000913.3	52427	53416	-	990	2339
b0053	NC_000913.3	53416	54702	-	1287	8117
b0054	NC_000913.3	54755	57109	-	2355	10775
b0055	NC_000913.3	57364	58179	+	816	969
b0056	NC_000913.3	58474	59124	+	651	421
b0057	NC_000913.3	59121	59279	+	159	30
b0058	NC_000913.3	59687	60346	-	660	1416
b0059	NC_000913.3	60358	63264	-	2907	4886
b0060	NC_000913.3	63429	65780	-	2352	5551
b0061	NC_000913.3	65855	66550	-	696	509
b0062	NC_000913.3	66835	68337	-	1503	1796
b0063	NC_000913.3	68348	70048	-	1701	1312
b0064	NC_000913.3	70387	71265	+	879	1221
b0065	NC_000913.3	71351	72115	+	765	1547
b0066	NC_000913.3	72229	72927	-	699	783
b0067	NC_000913.3	72911	74521	-	1611	909
b0068	NC_000913.3	74497	75480	-	984	1287
b0069	NC_000913.3	75644	77299	-	1656	557
b4662	NC_000913.3	77388	77519	+	132	42
b0070	NC_000913.3	77621	78799	+	1179	640
b0071	NC_000913.3	78848	79453	-	606	223
b0072	NC_000913.3	79464	80864	-	1401	343
b0073	NC_000913.3	80867	81958	-	1092	237
b0074	NC_000913.3	81958	83529	-	1572	330
b0075	NC_000913.3	83622	83708	-	87	13
b0076	NC_000913.3	84368	85312	+	945	164
b4726	NC_000913.3	85467	85511	-	45	1
b0077	NC_000913.3	85630	87354	+	1725	322
b0078	NC_000913.3	87357	87848	+	492	107
b0080	NC_000913.3	88028	89032	+	1005	3422
b0081	NC_000913.3	89634	90092	+	459	2022
b0082	NC_000913.3	90094	91035	+	942	2580
b0083	NC_000913.3	91032	91397	+	366	709
b0084	NC_000913.3	91413	93179	+	1767	2988
b0085	NC_000913.3	93166	94653	+	1488	2688
b0086	NC_000913.3	94650	96008	+	1359	2656
b0087	NC_000913.3	96002	97084	+	1083	2044
b0088	NC_000913.3	97087	98403	+	1317	2932
b0089	NC_000913.3	98403	99647	+	1245	2095
b0090	NC_000913.3	99644	100711	+	1068	2749
b0091	NC_000913.3	100765	102240	+	1476	3908
b0092	NC_000913.3	102233	103153	+	921	3097
b0093	NC_000913.3	103155	103985	+	831	2574
b0094	NC_000913.3	103982	105244	+	1263	4501
b0095	NC_000913.3	105305	106456	+	1152	10546
b0096	NC_000913.3	106557	107474	+	918	45621
b0097	NC_000913.3	107705	108217	+	513	2788
b0098	NC_000913.3	108279	110984	+	2706	13597
b0099	NC_000913.3	111044	111433	+	390	483
b0101	NC_000913.3	111649	111846	-	198	357
b0102	NC_000913.3	111856	112599	-	744	920
b0103	NC_000913.3	112599	113219	-	621	633
b4727	NC_000913.3	113244	113288	+	45	6
b0104	NC_000913.3	113444	114487	+	1044	3000
b0106	NC_000913.3	114522	115724	-	1203	428
b0107	NC_000913.3	115714	117099	-	1386	458
b0108	NC_000913.3	117109	117549	-	441	72
b0109	NC_000913.3	117752	118645	-	894	1156
b0110	NC_000913.3	118733	119284	+	552	387
b0111	NC_000913.3	119281	120135	+	855	668
b0112	NC_000913.3	120178	121551	-	1374	1129
b0113	NC_000913.3	122092	122856	+	765	3569
b0114	NC_000913.3	123017	125680	+	2664	25775
b0115	NC_000913.3	125695	127587	+	1893	19810
b0116	NC_000913.3	127912	129336	+	1425	15616
b0117	NC_000913.3	129407	131260	-	1854	337
b0118	NC_000913.3	131615	134212	+	2598	33634
b0119	NC_000913.3	134388	134750	+	363	1036
b0120	NC_000913.3	134788	135582	-	795	1356
b0121	NC_000913.3	135598	136464	-	867	1788
b0122	NC_000913.3	136570	136917	-	348	664
b0123	NC_000913.3	137083	138633	+	1551	1348
b0124	NC_000913.3	138835	141225	-	2391	6496
b0125	NC_000913.3	141431	141967	+	537	1822
b0126	NC_000913.3	142008	142670	-	663	2713
b0127	NC_000913.3	142779	143705	+	927	2286
b0128	NC_000913.3	143702	144472	+	771	1459
b0129	NC_000913.3	144577	145017	+	441	535
b0130	NC_000913.3	145081	146310	+	1230	879
b0131	NC_000913.3	146314	146694	-	381	2184
b0132	NC_000913.3	146968	147870	+	903	246
b0133	NC_000913.3	147944	148795	-	852	2478
b0134	NC_000913.3	148807	149601	-	795	2158
b0135	NC_000913.3	149715	150953	-	1239	179
b0136	NC_000913.3	151003	151599	-	597	60
b0137	NC_000913.3	151626	152231	-	606	35
b0138	NC_000913.3	152243	152812	-	570	60
b0139	NC_000913.3	152829	155426	-	2598	190
b0140	NC_000913.3	155461	156201	-	741	41
b0141	NC_000913.3	156299	156883	-	585	73
b0142	NC_000913.3	157253	157732	-	480	214
b0143	NC_000913.3	157729	159126	-	1398	5892
b0144	NC_000913.3	159186	160112	-	927	915
b0145	NC_000913.3	160149	160604	-	456	9965
b0146	NC_000913.3	160782	161486	-	705	3689
b0147	NC_000913.3	161501	162031	-	531	264
b0148	NC_000913.3	162105	164534	+	2430	2457
b0149	NC_000913.3;NC_000913.3	164730;164865	167264;167264	+;+	2535	6158
b0150	NC_000913.3	167484	169727	+	2244	4007
b0151	NC_000913.3	169778	170575	+	798	561
b0152	NC_000913.3	170575	171465	+	891	326
b0153	NC_000913.3	171462	173444	+	1983	1101
b0154	NC_000913.3	173602	174882	-	1281	3606
b4765	NC_000913.3	175048	175095	+	48	56
b0155	NC_000913.3	175107	176528	+	1422	1523
b4728	NC_000913.3	176552	176617	+	66	0
b0156	NC_000913.3	176610	176954	+	345	2842
b0157	NC_000913.3	177001	177624	-	624	755
b0158	NC_000913.3	177662	178462	-	801	485
b0159	NC_000913.3	178455	179153	-	699	2110
b0160	NC_000913.3	179237	180754	+	1518	745
b0161	NC_000913.3	180884	182308	+	1425	4965
b0162	NC_000913.3	182463	183620	+	1158	1597
b0163	NC_000913.3	183709	184095	-	387	2330
b0164	NC_000913.3	184257	185069	-	813	295
b0166	NC_000913.3	185123	185947	-	825	2929
b0167	NC_000913.3	185978	188650	-	2673	1932
b0168	NC_000913.3	188712	189506	-	795	4674
b0169	NC_000913.3	189874	190599	+	726	71597
b0170	NC_000913.3	190857	191708	+	852	13968
b0171	NC_000913.3	191855	192580	+	726	1963
b0172	NC_000913.3	192872	193429	+	558	9879
b0173	NC_000913.3	193521	194717	+	1197	1712
b0174	NC_000913.3	194903	195664	+	762	5609
b0175	NC_000913.3	195677	196534	+	858	3571
b0176	NC_000913.3	196546	197898	+	1353	7743
b0177	NC_000913.3	197928	200360	+	2433	20406
b0178	NC_000913.3	200482	200967	+	486	8387
b0179	NC_000913.3	200971	201996	+	1026	7134
b0180	NC_000913.3	202101	202556	+	456	3063
b0181	NC_000913.3	202560	203348	+	789	5266
b0182	NC_000913.3	203348	204496	+	1149	2277
b0183	NC_000913.3	204493	205089	+	597	883
b0184	NC_000913.3	205126	208608	+	3483	7380
b0185	NC_000913.3	208621	209580	+	960	4362
b0186	NC_000913.3	209679	211820	+	2142	1834
b0187	NC_000913.3	211877	212266	+	390	518
b0188	NC_000913.3	212331	213629	+	1299	1294
b0189	NC_000913.3	213678	213932	-	255	693
b4406	NC_000913.3	213925	214125	-	201	790
b0190	NC_000913.3	214291	214836	+	546	670
b0191	NC_000913.3	214833	215255	+	423	321
b0192	NC_000913.3	215269	215979	+	711	1315
b0193	NC_000913.3	216179	217003	-	825	434
b0194	NC_000913.3	217057	218775	-	1719	6780
b0195	NC_000913.3	218887	219594	-	708	438
b0196	NC_000913.3	219591	219995	-	405	555
b0197	NC_000913.3	220113	220928	-	816	1303
b0198	NC_000913.3	220968	221621	-	654	483
b0199	NC_000913.3	221614	222645	-	1032	555
b0200	NC_000913.3	222833	223408	+	576	26
b0207	NC_000913.3	229167	229970	+	804	85
b0208	NC_000913.3	229967	230881	-	915	323
b0209	NC_000913.3	231122	231922	+	801	1113
b0210	NC_000913.3	231926	232549	+	624	358
b0211	NC_000913.3	232597	233955	-	1359	7110
b0212	NC_000913.3	234027	234782	-	756	457
b4815	NC_000913.3	234288	234320	+	33	0
b0213	NC_000913.3	234816	235538	+	723	474
b0214	NC_000913.3	235535	236002	-	468	540
b0215	NC_000913.3	236067	236798	+	732	1080
b0217	NC_000913.3	237335	238120	+	786	448
b4586	NC_000913.3	238257	238736	-	480	86
b0219	NC_000913.3	239419	240189	-	771	743
b0220	NC_000913.3	240343	240816	+	474	3246
b0221	NC_000913.3	240859	243303	-	2445	5595
b0222	NC_000913.3	243543	244121	+	579	1953
b0223	NC_000913.3	244327	245094	+	768	991
b0224	NC_000913.3	245065	245805	-	741	2752
b0225	NC_000913.3	245961	246239	-	279	433
b0226	NC_000913.3	246242	246502	-	261	804
b0227	NC_000913.3	246712	247461	+	750	133
b0228	NC_000913.3	247637	248134	+	498	199
b0231	NC_000913.3	250898	251953	+	1056	3317
b0232	NC_000913.3	252005	252298	+	294	246
b0233	NC_000913.3	252301	252699	+	399	138
b0234	NC_000913.3	252709	253161	+	453	184
b0237	NC_000913.3	254259	255716	-	1458	5074
b0238	NC_000913.3	255977	256435	+	459	1711
b0239	NC_000913.3	256527	257771	+	1245	1456
b0240	NC_000913.3;NC_000913.3	257829;258676	257899;259006	+;+	402	2603
b4710	NC_000913.3	257923	258426	-	504	0
b4709	NC_000913.3	258345	258620	-	276	0
b0241	NC_000913.3	259045	260100	-	1056	152
b0242	NC_000913.3	260388	261491	+	1104	1980
b0243	NC_000913.3	261503	262756	+	1254	2228
b0245	NC_000913.3	263328	263669	-	342	780
b0246	NC_000913.3	263690	264007	-	318	554
b4504	NC_000913.3	264026	264247	-	222	174
b0247	NC_000913.3	264256	264732	-	477	468
b0248	NC_000913.3	264748	265206	-	459	832
b0249	NC_000913.3	265304	265543	-	240	433
b0250	NC_000913.3	265620	266087	-	468	621
b0251	NC_000913.3	266110	266553	-	444	184
b0252	NC_000913.3	267184	268005	-	822	237
b0253	NC_000913.3	268097	268960	-	864	728
b0254	NC_000913.3	269289	270182	-	894	261
b4587	NC_000913.3;NC_000913.3	270278;271764	270540;272190	+;+	690	327
b0256	NC_000913.3	270603	271754	+	1152	278
b0258	NC_000913.3	272847	273992	+	1146	511
b0259	NC_000913.3	274101	275081	-	981	8
b0260	NC_000913.3	275325	276728	+	1404	233
b0261	NC_000913.3	276715	277647	+	933	810
b0262	NC_000913.3	277756	278802	-	1047	343
b0264	NC_000913.3	279178	279681	-	504	31
b0265	NC_000913.3	279600	279875	-	276	38
b0266	NC_000913.3	280385	280735	-	351	111
b0267	NC_000913.3	280829	281983	-	1155	56
b0268	NC_000913.3	282278	283186	+	909	376
b0269	NC_000913.3	283201	285168	+	1968	1236
b0270	NC_000913.3	285395	286777	+	1383	211
b0271	NC_000913.3	286789	288399	+	1611	468
b0272	NC_000913.3	288404	289162	-	759	756
b0273	NC_000913.3	289301	290305	-	1005	248
