# Program:featureCounts v2.0.8; Command:"featureCounts" "-p" "-B" "-C" "-F" "GFF" "-t" "CDS" "-g" "locus_tag" "-a" "/home/vinay_bioinformatic/project/refrence/GCF_000005845.2_ASM584v2_genomic.gff" "-o" "SRR22578536_gene_counts.txt" "SRR22578536.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR22578536.sorted.bam
b0001	NC_000913.3	190	255	+	66	138
b0002	NC_000913.3	337	2799	+	2463	1530
b0003	NC_000913.3	2801	3733	+	933	1503
b0004	NC_000913.3	3734	5020	+	1287	2461
b0005	NC_000913.3	5234	5530	+	297	494
b0006	NC_000913.3	5683	6459	-	777	621
b0007	NC_000913.3	6529	7959	-	1431	746
b0008	NC_000913.3	8238	9191	+	954	21480
b0009	NC_000913.3	9306	9893	+	588	1699
b0010	NC_000913.3	9928	10494	-	567	990
b0011	NC_000913.3	10643	11356	-	714	87
b0012	NC_000913.3	10830	11315	+	486	0
b0013	NC_000913.3	11382	11786	-	405	68
b0014	NC_000913.3	12163	14079	+	1917	17949
b0015	NC_000913.3	14168	15298	+	1131	3358
b0016	NC_000913.3	15445	16557	+	1113	408
b0018	NC_000913.3	16751	16960	-	210	26
b4412	NC_000913.3	16751	16903	-	153	0
b0019	NC_000913.3	17489	18655	+	1167	5594
b0020	NC_000913.3	18715	19620	+	906	1473
b0021	NC_000913.3	19811	20314	-	504	81
b0022	NC_000913.3	20233	20508	-	276	104
b0023	NC_000913.3	20815	21078	-	264	11406
b0024	NC_000913.3	21181	21399	+	219	71
b0025	NC_000913.3	21407	22348	+	942	4179
b0026	NC_000913.3	22391	25207	+	2817	14493
b0027	NC_000913.3	25207	25701	+	495	3106
b0028	NC_000913.3	25826	26275	+	450	1288
b0029	NC_000913.3	26277	27227	+	951	2331
b0030	NC_000913.3	27293	28207	+	915	1254
b0031	NC_000913.3	28374	29195	+	822	1072
b0032	NC_000913.3	29651	30799	+	1149	3943
b0033	NC_000913.3	30817	34038	+	3222	10920
b0034	NC_000913.3	34300	34695	+	396	264
b0035	NC_000913.3	34781	35371	-	591	75
b0036	NC_000913.3	35377	36162	-	786	54
b0037	NC_000913.3	36271	37824	-	1554	213
b0038	NC_000913.3	37898	39115	-	1218	198
b0039	NC_000913.3	39244	40386	-	1143	464
b0040	NC_000913.3	40417	41931	-	1515	69
b0041	NC_000913.3	42403	43173	+	771	90
b0042	NC_000913.3	43188	44129	+	942	56
b0043	NC_000913.3	44180	45466	+	1287	60
b0044	NC_000913.3	45463	45750	+	288	5
b0045	NC_000913.3	45807	47138	+	1332	45
b0046	NC_000913.3	47246	47776	+	531	261
b0047	NC_000913.3	47769	49631	+	1863	1167
b0048	NC_000913.3	49823	50302	+	480	1936
b0049	NC_000913.3	50380	51222	-	843	1976
b0050	NC_000913.3	51229	51606	-	378	1001
b0051	NC_000913.3	51609	52430	-	822	3501
b0052	NC_000913.3	52427	53416	-	990	2984
b0053	NC_000913.3	53416	54702	-	1287	10211
b0054	NC_000913.3	54755	57109	-	2355	13980
b0055	NC_000913.3	57364	58179	+	816	1232
b0056	NC_000913.3	58474	59124	+	651	496
b0057	NC_000913.3	59121	59279	+	159	39
b0058	NC_000913.3	59687	60346	-	660	1535
b0059	NC_000913.3	60358	63264	-	2907	5492
b0060	NC_000913.3	63429	65780	-	2352	7466
b0061	NC_000913.3	65855	66550	-	696	446
b0062	NC_000913.3	66835	68337	-	1503	1639
b0063	NC_000913.3	68348	70048	-	1701	1126
b0064	NC_000913.3	70387	71265	+	879	1770
b0065	NC_000913.3	71351	72115	+	765	1609
b0066	NC_000913.3	72229	72927	-	699	816
b0067	NC_000913.3	72911	74521	-	1611	1016
b0068	NC_000913.3	74497	75480	-	984	1587
b0069	NC_000913.3	75644	77299	-	1656	550
b4662	NC_000913.3	77388	77519	+	132	58
b0070	NC_000913.3	77621	78799	+	1179	687
b0071	NC_000913.3	78848	79453	-	606	292
b0072	NC_000913.3	79464	80864	-	1401	372
b0073	NC_000913.3	80867	81958	-	1092	264
b0074	NC_000913.3	81958	83529	-	1572	262
b0075	NC_000913.3	83622	83708	-	87	13
b0076	NC_000913.3	84368	85312	+	945	137
b4726	NC_000913.3	85467	85511	-	45	5
b0077	NC_000913.3	85630	87354	+	1725	270
b0078	NC_000913.3	87357	87848	+	492	77
b0080	NC_000913.3	88028	89032	+	1005	4973
b0081	NC_000913.3	89634	90092	+	459	2060
b0082	NC_000913.3	90094	91035	+	942	3014
b0083	NC_000913.3	91032	91397	+	366	853
b0084	NC_000913.3	91413	93179	+	1767	3624
b0085	NC_000913.3	93166	94653	+	1488	3739
b0086	NC_000913.3	94650	96008	+	1359	3313
b0087	NC_000913.3	96002	97084	+	1083	2792
b0088	NC_000913.3	97087	98403	+	1317	3758
b0089	NC_000913.3	98403	99647	+	1245	2756
b0090	NC_000913.3	99644	100711	+	1068	3651
b0091	NC_000913.3	100765	102240	+	1476	5329
b0092	NC_000913.3	102233	103153	+	921	3828
b0093	NC_000913.3	103155	103985	+	831	3321
b0094	NC_000913.3	103982	105244	+	1263	5879
b0095	NC_000913.3	105305	106456	+	1152	14334
b0096	NC_000913.3	106557	107474	+	918	44540
b0097	NC_000913.3	107705	108217	+	513	3155
b0098	NC_000913.3	108279	110984	+	2706	17379
b0099	NC_000913.3	111044	111433	+	390	533
b0101	NC_000913.3	111649	111846	-	198	475
b0102	NC_000913.3	111856	112599	-	744	1143
b0103	NC_000913.3	112599	113219	-	621	757
b4727	NC_000913.3	113244	113288	+	45	4
b0104	NC_000913.3	113444	114487	+	1044	2870
b0106	NC_000913.3	114522	115724	-	1203	400
b0107	NC_000913.3	115714	117099	-	1386	473
b0108	NC_000913.3	117109	117549	-	441	55
b0109	NC_000913.3	117752	118645	-	894	1487
b0110	NC_000913.3	118733	119284	+	552	539
b0111	NC_000913.3	119281	120135	+	855	842
b0112	NC_000913.3	120178	121551	-	1374	1096
b0113	NC_000913.3	122092	122856	+	765	1299
b0114	NC_000913.3	123017	125680	+	2664	13306
b0115	NC_000913.3	125695	127587	+	1893	12066
b0116	NC_000913.3	127912	129336	+	1425	14559
b0117	NC_000913.3	129407	131260	-	1854	330
b0118	NC_000913.3	131615	134212	+	2598	49795
b0119	NC_000913.3	134388	134750	+	363	1316
b0120	NC_000913.3	134788	135582	-	795	1456
b0121	NC_000913.3	135598	136464	-	867	1855
b0122	NC_000913.3	136570	136917	-	348	808
b0123	NC_000913.3	137083	138633	+	1551	1684
b0124	NC_000913.3	138835	141225	-	2391	2347
b0125	NC_000913.3	141431	141967	+	537	1895
b0126	NC_000913.3	142008	142670	-	663	3169
b0127	NC_000913.3	142779	143705	+	927	2115
b0128	NC_000913.3	143702	144472	+	771	1549
b0129	NC_000913.3	144577	145017	+	441	719
b0130	NC_000913.3	145081	146310	+	1230	889
b0131	NC_000913.3	146314	146694	-	381	2494
b0132	NC_000913.3	146968	147870	+	903	269
b0133	NC_000913.3	147944	148795	-	852	2699
b0134	NC_000913.3	148807	149601	-	795	2302
b0135	NC_000913.3	149715	150953	-	1239	105
b0136	NC_000913.3	151003	151599	-	597	29
b0137	NC_000913.3	151626	152231	-	606	38
b0138	NC_000913.3	152243	152812	-	570	43
b0139	NC_000913.3	152829	155426	-	2598	95
b0140	NC_000913.3	155461	156201	-	741	22
b0141	NC_000913.3	156299	156883	-	585	23
b0142	NC_000913.3	157253	157732	-	480	229
b0143	NC_000913.3	157729	159126	-	1398	6792
b0144	NC_000913.3	159186	160112	-	927	1298
b0145	NC_000913.3	160149	160604	-	456	12741
b0146	NC_000913.3	160782	161486	-	705	4477
b0147	NC_000913.3	161501	162031	-	531	286
b0148	NC_000913.3	162105	164534	+	2430	2607
b0149	NC_000913.3;NC_000913.3	164730;164865	167264;167264	+;+	2535	6575
b0150	NC_000913.3	167484	169727	+	2244	3835
b0151	NC_000913.3	169778	170575	+	798	510
b0152	NC_000913.3	170575	171465	+	891	328
b0153	NC_000913.3	171462	173444	+	1983	1139
b0154	NC_000913.3	173602	174882	-	1281	4581
b4765	NC_000913.3	175048	175095	+	48	99
b0155	NC_000913.3	175107	176528	+	1422	1841
b4728	NC_000913.3	176552	176617	+	66	0
b0156	NC_000913.3	176610	176954	+	345	2040
b0157	NC_000913.3	177001	177624	-	624	575
b0158	NC_000913.3	177662	178462	-	801	483
b0159	NC_000913.3	178455	179153	-	699	2200
b0160	NC_000913.3	179237	180754	+	1518	862
b0161	NC_000913.3	180884	182308	+	1425	4264
b0162	NC_000913.3	182463	183620	+	1158	2346
b0163	NC_000913.3	183709	184095	-	387	2950
b0164	NC_000913.3	184257	185069	-	813	313
b0166	NC_000913.3	185123	185947	-	825	3789
b0167	NC_000913.3	185978	188650	-	2673	1971
b0168	NC_000913.3	188712	189506	-	795	4409
b0169	NC_000913.3	189874	190599	+	726	70236
b0170	NC_000913.3	190857	191708	+	852	12791
b0171	NC_000913.3	191855	192580	+	726	1981
b0172	NC_000913.3	192872	193429	+	558	11354
b0173	NC_000913.3	193521	194717	+	1197	2150
b0174	NC_000913.3	194903	195664	+	762	6511
b0175	NC_000913.3	195677	196534	+	858	4210
b0176	NC_000913.3	196546	197898	+	1353	9556
b0177	NC_000913.3	197928	200360	+	2433	27161
b0178	NC_000913.3	200482	200967	+	486	11180
b0179	NC_000913.3	200971	201996	+	1026	9514
